,sentence,start,end
0,In most states you can still be fired on the basis of gender or sexual orientation,0,82
1,In a span of just 12 hours North Carolina introduced passed and signed one of the most extreme anti-LGBT laws in the country,532,656
2,The law overrides existing city and county laws in the state that protect?lesbian gay bisexual and transgender?people from discrimination,1055,1192
3,Anti-LGBT laws are on the books in dozens of states—and more are working their way through statehouses across the country,1553,1674
4,And in still more states discrimination against LGBT residents is permitted under the law,2083,2172
5,LGBT people lack comprehensive nondiscrimination protections under federal law—making the laws of individual states critically important,2585,2721
6,And more anti-LGBT laws are working their way through state legislatures every day,3157,3239
7,Right now Mississippi is considering a bill that would let corporations discriminate against LGBT Mississippians,3680,3792
8,And Oklahoma lawmakers have filed 26 anti-LGBT bills already this year,4226,4296
9,Donald Trump disagreed with the Supreme Courts marriage equality ruling,4740,4811
10,As governor of Ohio John Kasich prevented LGBT couples from obtaining birth certificates for their children,5249,5356
11,"And Senator Ted Cruz flat-out opposes non-discrimination protections for LGBT Americans—and has refused to speak out against so-called ""conversion therapy"" for minors",5747,5913
12,"""Today 65 percent of LGBT Americans report experiencing discrimination in their daily lives",6331,6422
13,"Three-quarters of LGBT students say theyve been harassed for their sexual orientation."" The statistics on bullying and harassment are even more staggering for transgender Americans",6806,6986
14,And 1 in 5 have been refused a home or apartment based on their gender identity,7324,7403
15,What happened in North Carolina is the latest reminder that the fight for LGBT equality is far from over,7732,7836
16,As Hillary Clinton has said: We have to keep fighting until every American can not only marry but also live work pray learn and raise a family free from discrimination,8207,8374
17,And Hillary will do just that,8795,8824
