,sentence,start,end
0,"""I am honored to have earned the first-ever endorsement of the National Gay & Lesbian Chamber of Commerce",0,105
1,"""For nearly 15 years the NGLCC has paved the way for LGBT-owned and –allied businesses to succeed grow and find new clients and partners",555,691
2,Just this month they brought together a record-breaking number of LGBT business leaders at their annual convention,1065,1179
3,"""The stakes in this election could not be higher for LGBT Americans",1549,1616
4,When Donald Trump says hell make America great again thats code for take America backwards,1993,2083
5,He has said he would appoint judges who would overturn marriage equality,2440,2512
6,The man Trump chose as his running mate signed a law that opened the door for Indiana businesses to discriminate against LGBT people and said marriage equality could cause societal collapse,2839,3028
7,xa0As weve seen in North Carolina discrimination isnt only wrong – its bad for business,3352,3439
8,North Carolinas egregious HB2 measure has caused companies to pull jobs and millions of dollars out of the state,3784,3896
9,"""We have our work cut out for us",4243,4275
10,As President Ill keep fighting for equality and opportunity for LGBT Americans by passing the Equality Act,4632,4738
11,And I want to be the small business president and make things easier for small businesses every step of the way,5036,5147
12,In America if you can dream it you should be able to build it – no matter where you come from what you look like or who you love,5393,5521
13,Thats why I havexa0 xa0to make it easier to start a business get the financing to grow file taxes and work with the federal government and provide good benefits to workers,5771,5942
14,"""I am proud to stand with the NGLCC in this election and every day."" ",6317,6385
